text,label
mal luege 😐,neutral
neutral gseh 🙂,neutral
tüür,negativ
jo passt scho 🙂,neutral
extrem nervt 💔,negativ
mist grad 💔 💔,negativ
gutte idee grad 🎉,positiv
empfehlenswert,positiv
mega blöd 😤,negativ
eifach nie wieder 👎 graad 😉,negativ
bin zfriede 😊,positiv
schwach 😡,negativ
zur kenntnis einffach ngoomme 🤔,neutral
esshr eigenltich guet ❤️,positiv
eifach peinlich 💔,negativ
ricchitg gute idee 🎉 🎉,positiv
huere passt perfekt,positiv
nichhts speziilels 🙂,neutral
jo halt paasst scho 🙂 🙃,neutral
voll gar nöd guet 😡 😭,negativ
liebs ❤️ ✨,positiv
unentschieden eigentlich 😐,neutral
funnktioniert niid 😭 👎,negativ
mega guet ❤️ 👍,positiv
ocol gmaacht 👍,positiv
vooll jo ppsast scho 🙂,neutral
rihcttig enttäuuschned 👎,negativ
ok,neutral
nie wieder,negativ
tiptop 👍,positiv
tüür eigentlich 😢,negativ
nichts speziells 😐,neutral
mega gueet 😊 😉,positiv
zur eh knentnis gonmme 😉,neutral
stark 😊 ❤️,positiv
mega so en quatssch grad 😤,negativ
mgea boleed 😤 😤,negativ
tüür 😡 😤,negativ
hammer 😍 😎,positiv
huere emga guet 😊 🤣,positiv
halt huere unentschiedden 🙂 haha 😶,neutral
zur eh kentnnis gnomme 🤔 🙂,neutral
schwach 🤨,negativ
schrott grad 😡 😉,negativ
huere mal luege lol 😶,neutral
isch okkay 🤨,neutral
nichts speziells 😶,neutral
scheen,positiv
vlol nuetral gseh 🤔,neutral
empfehleenswert ✨,positiv
mist 😭,negativ
haalt richtig so alla 🤔 🤔,neutral
jo passt scho 😐 😐,neutral
extrem nie wideeer 😤 lol,negativ
mega enttäuschend einffach,negativ
eifach isst okaay 🙃,neutral
kann man machen 🙂 mal 😶,neutral
einnfach enttäuschend 😭 🤮,negativ
eigetnlich extrem nie wieder 💔 😤,negativ
voll rgad zur kkennntis ngomme,neutral
einfach passt perfekt ✨ ❤️,positiv
eiifach mal luuege halt,neutral
tiptop ✨,positiv
nervt 👎 🤮,negativ
sehhr guet 😍 🤨,positiv
mega stark ❤️ 😎,positiv
kann man machen,neutral
hammer einfcah 😍,positiv
grrad so i.o. 🤔 😉,neutral
eiaffch peinlich 😤 ahlt 🤨,negativ
huere uunnetschieden 🙃,neutral
halt ovll strak 👍 haha 😎,positiv
eifaach gute idee ✨ 😍,positiv
eiafch eigentlich saclhich ok,neutral
jo passt scho 😐,neutral
biin zfriede 🎉,positiv
katastrophe 😭 🤬,negativ
liebs 🎉,positiv
leeibs,positiv
eifach nunütz 😡 halt,negativ
stark,positiv
funktioniert nid 👎,negativ
richhtig unentschieden 🤔 😉,neutral
schleccht 😡,negativ
mega blöd 😤 😭,negativ
schlächt 😤,negativ
uggte idee 👍 😊,positiv
kann man machen 🤔,neutral
ok einfach 🙂 🤔,neutral
passt so 🤔 😐,neutral
huree top sscahe ❤️,positiv
passt perfekt 👍,positiv
so alla 😐,neutral
scheen 👍,positiv
ok 😐 😐,neutral
gfallt mir 😉 😎,positiv
psast so 😶,neutral
empfehlenswert 🎉,positiv
extrrem schrott 😡 😢,negativ
eh ncie 👍 😍,positiv
neutral sgeh 🙂 🤔,neutral
einfaach scheen ❤️,positiv
mega zur kennttnis gnomme 🙂 😐,neutral
so llaa 🤔 😉,neutral
standard 🙃,neutral
extrem halt katastrophe 😭 🤮,negativ
liebs ✨,positiv
liebs 👍,positiv
peinilcch 😡 eh,negativ
stark ❤️ eignetlich,positiv
top sache 👍,positiv
bin zzfridee ✨ lol 🤣,positiv
mega bloööd 💔 🤮,negativ
eiafch scheeen eh 👍 ❤️,positiv
bin zfriede gard 😂,positiv
zur eknnttnis goonmmme 🙂,neutral
liebs ❤️ 😍 ️,positiv
stark 😍,positiv
gute iddee 😊,positiv
bin zfriede 🎉,positiv
peinlich 👎,negativ
mega sclhecht 💔 😢,negativ
voll so en mal quatsch 😡 haha 🤮,negativ
ienfach gar nöd guet 💔,negativ
eiffach funktiooniert nid 👎 😢,negativ
grad so i.o. 😶,neutral
huere eigentlich staandrad 🤔,neutral
mega ncihts speziells 🤔 lol 🙃,neutral
eigenltich isch oaky 😐,neutral
scrhott 😤 👎,negativ
tsaaark ✨,positiv
extrem mal eh luegge 🤔 😉,neutral
eifach psast perfekt 😍 ✨,positiv
eifach neutral gseh 🤔,neutral
sehr guet 😊,positiv
richtig mist 👎 👎,negativ
unentsciheden 🤔 🤔,neutral
hammer eh 😊,positiv
mega schlecht 😭 🤮,negativ
tiptop rgad,positiv
kann man machen 🤔 🤔,neutral
gar nöd guet 😡 halt 😭,negativ
peinlich,negativ
einafch tüür 😤 😡,negativ
huerre starrk 👍,positiv
msit 😭 😤,negativ
peinlich 💔,negativ
geht so,neutral
voll tiptop ❤️ 👍,positiv
exterm ocol gmaccht ❤️,positiv
richtig ugte diee ❤️ 😊,positiv
extrem huere guet 😊 ✨ ️,positiv
mist,negativ
eifach empfehlenswert 🎉 😂,positiv
voll nie wieedr 😭,negativ
extrem rgad neutral gseh 😶,neutral
uggte ieede ❤️,positiv
imst eh 😭 😤,negativ
grad huere liebs 👍,positiv
kann man machen 😐,neutral
extrem niie wieder 😭 👎,negativ
eiifach ggafllt mir ✨ lol,positiv
heeure jo eigentllich passt scho 🤔,neutral
richtig hlat enttäuschend 😤 🙄,negativ
stark 😊,positiv
funktioniert nid,negativ
richtig empfehlenswert ✨ 😊,positiv
xetrem so lala 🙂 🙃,neutral
gfallt mir 😊,positiv
scheen rgad 😊 🤣,positiv
jo passt shco 😐,neutral
kann maan macchen 🤔,neutral
exrtem enttäuschend 😤 💔,negativ
so alla eh 🤔,neutral
vooll funktioniert nid 👎 🤨,negativ
ahmmer ❤️ 😊,positiv
niice 😍 😂,positiv
titttpop,positiv
mega blööd 😡 🤮,negativ
toop sache 🎉 🤣,positiv
katastorphe 💔 maal … 💔,negativ
gute idee 🎉,positiv
eifach tiptop lol,positiv
ok 😐 🙃,neutral
top sache 👍 haha 😍,positiv
scheen 😍 😊,positiv
geht so haha,neutral
so en quatsch,negativ
voll grad so i.o. 🙂 😶,neutral
ovll funktioniert eigentlich nid 😤 🤮,negativ
hammer ❤️,positiv
hureee sachlich ok,neutral
gar nöd guet 👎 🙄,negativ
ileebs 😊 🤨,positiv
richtig mal luege einfach 🤔 🤔,neutral
mega schwach haha 🤬,negativ
liebs 🎉 😎,positiv
so en quatsch 😤,negativ
eigentlich extrem geht so 😐 😶,neutral
vlool sachlich ok 🤔 🙃,neutral
grad so i.o. 🤔,neutral
schlcehhht 😡,negativ
top sache ✨,positiv
nervt 😤,negativ
huuuree schrott 😤 👎,negativ
exxrtem sachlich ok 🙂 😶,neutral
nie eigentlich wiieder 💔 haha 💔,negativ
einfach huere liebs,positiv
mist eh 😤,negativ
extrem nie wieder 💔 halt lol,negativ
nervt 😤 lol 😡,negativ
eifach zur kenntnis gnomme,neutral
schlceht halt 💔 😉,negativ
halt richtig shceen 😍,positiv
empeefhlenswert 🤣,positiv
tiptop 😊 🎉,positiv
schlächt 😤 eigentlich,negativ
peinlich 😭 🤬,negativ
so lala 😐 🙃,neutral
maal luege 🙂,neutral
peinlich 😡,negativ
kann man machen 🙂 eh 😐,neutral
unentschieden 😐,neutral
gute idee,positiv
voll gfallt mir ❤️,positiv
passt perfekt 😊,positiv
iefaacch gar nöd guet 💔 🤮,negativ
neutral gsseh 😐 😐,neutral
voll biin zfriede ✨ ❤️,positiv
ist okay,neutral
xetrem so en quatsch hallt 😤,negativ
mega blööd 👎,negativ
eh enttäusschend 😡,negativ
mega guet,positiv
ovll eiigenlttich nice 👍 ✨,positiv
tiptop ❤️,positiv
gar nöd guet 👎,negativ
schrott 😭,negativ
neutral gseh 🤔 haha,neutral
richtig hamemr 😍 😎,positiv
unentscheiden 😐 … 😐,neutral
msit 😢,negativ
pienlich,negativ
richhitg nice 🎉 😍,positiv
ok 😶,neutral
mal luege 🙂,neutral
mal eifach guute ieede 😊 haha 🤣,positiv
schlecht eigentlich 😭,negativ
passt so,neutral
eh schlächt 💔,negativ
ok 😐,neutral
grad so i.o.,neutral
jo passt sccho 😐 eh 🤔,neutral
passt so 🤔,neutral
mal luege 🤔,neutral
mega blöd 💔,negativ
kann maan machen 😐,neutral
mega funktioniert nid 😭 😤,negativ
schwach 😤 rgad 👎,negativ
xetrrem neutral gseh 😐,neutral
voll tüür halt 😡 😢,negativ
mega geeht so 😐 🙃,neutral
neutral gseh 🤔,neutral
tüür 😭,negativ
exxterm mist 👎 😭,negativ
huere ok 😐 🙃,neutral
kann man machen 🙂,neutral
meega scheen 👍 🎉,positiv
katastrophe 💔,negativ
zur kenntnis gnomme 😐 haha 😐,neutral
voll sehr grad ugeet 😍,positiv
stark 👍,positiv
ist eh koay 🤔,neutral
so en quatsch 👎,negativ
neutral gseh,neutral
extrem ugte ideee grad ✨ 🤣,positiv
so lllaa lol 😶,neutral
scheen ✨,positiv
zur kenntnis gnomme 😐 🤔,neutral
voll top sache 🎉 🤨,positiv
huere starrk 😊,positiv
richtig unentssciheden 🙂,neutral
unentschieden,neutral
nice 🎉,positiv
bin zfrieede 😊,positiv
nnrevt 😤,negativ
enttäuschend,negativ
grad scheen 😊,positiv
funktioniert niid 😡 😤,negativ
sachlich ok 🤔,neutral
voll top sache haalt 🎉,positiv
geht so 😶,neutral
cool gmacht ✨,positiv
enttäuschend 👎,negativ
richtig nichts spzeiells 😶,neutral
nervt 💔 🤬,negativ
richtig pienlich 😡 🤮,negativ
scehhen eh ❤️ 😎,positiv
voll passst perfekt grad 👍,positiv
sachllcih ok 🤔,neutral
halt huere zur kenntnis gnomme 😐,neutral
schhrott 😡 🤨,negativ
hammer 😍,positiv
passt perfekt ✨,positiv
empfehlesnwert 😊,positiv
mgea uget,positiv
richtig mega guet,positiv
strak 😍 😉,positiv
scheen 😍,positiv
tiptop 😊 😊,positiv
niichts speziells 🙂 hlat 😉,neutral
mal passt so haha 😐,neutral
gute idee 👍,positiv
voll gar nöd uget 😡 🤬,negativ
mega uget ✨ 😎,positiv
enttäuschend 😭,negativ
huere enttäuschhend …,negativ
so en uqatsch 💔 😡,negativ
tiptop,positiv
nervt 😭,negativ
sachlich ok,neutral
mist 👎 🤬,negativ
nie wieder 😉,negativ
libes ✨ 🤨,positiv
zur kenntnis gnomme 😐,neutral
richittg ok 🙂 🤔,neutral
nervt 😢,negativ
schrott 👎 😭,negativ
katastrophe 😤 🤬,negativ
eifach schleccht 😭 🤮,negativ
mal luege 😐 🙂,neutral
mega psast so 😐,neutral
richtig funktionierrt niid 😤 🤨,negativ
schlächt 😤 eh 😭,negativ
passt so 🤔 😶,neutral
unnüütz 👎 😤,negativ
hammer 🎉,positiv
extrem unnütz 😤 einfach 💔,negativ
ince 🎉,positiv
mega ist okay 🤔,neutral
mega ienfach passt perfekt 😊 😎,positiv
extrem icsh oaaky 😐 😐,neutral
uhere shclächt 👎 eh 👎,negativ
schheen ✨ 😍 ️,positiv
csheen ❤️ 🎉,positiv
mega blööd,negativ
nervt 😡 😭,negativ
knan man amchen 🙃,neutral
schrott 😤,negativ
richtig inccchts speizellls 🤔,neutral
grad so i.o. 😐 🙃,neutral
unnütz 😡 💔,negativ
inchhts speziells 🙂 😐,neutral
schlächt,negativ
unnttüz 😤 …,negativ
sachlich ok 🙂,neutral
etxrem top sache einfach 😊,positiv
voll schlecht 😡 😤,negativ
liebs haha,positiv
xetrem sacllhich ok 🙂 🙂,neutral
zur kenntnis gnomme,neutral
top sache 🎉,positiv
jo passt scho,neutral
exxtrem libbes 👍,positiv
geht so 😐,neutral
gute idee ✨,positiv
mist einfach lol 😭 😡,negativ
gar nöd geeut 👎 💔,negativ
nervt,negativ
mega sahclich ok 😐 🤔,neutral
top sache,positiv
huere top sache ✨ 👍,positiv
katastrophe 💔 haha 😢,negativ
unnütz,negativ
nie wieder 👎 😤,negativ
gute iede hlat,positiv
empfehlenswert 😍,positiv
voll gar nöd geut 👎,negativ
mal extrem mega blöd,negativ
unentschieden 😐 🤔,neutral
richtig liebs 😊 … 😊,positiv
gar nöd guet,negativ
entttäuschend 💔 🤨,negativ
nervt 👎,negativ
schrott 👎,negativ
mega neutral gseh 😶,neutral
gfallt mir eigentlich ❤️,positiv
mist 💔,negativ
mist 💔 🤨,negativ
stark ✨ 🤣,positiv
so en quaastch 😡 😤,negativ
unnütz 💔 🤮,negativ
neutral einfach sgeh 😐 😐,neutral
eifach liebs ✨ 😂,positiv
schlächt 😡,negativ
mega lböd 💔 🤮,negativ
zur kenntnis gnomme 🤔,neutral
cool gard gmacht,positiv
tüür 😡 😢,negativ
mal unnütz 😤 😤,negativ
coool gmacht 🎉,positiv
megga grad ok 🙂 🤔,neutral
richtig gar nöd uget 💔 😉,negativ
cool gmacht ✨ 🙄,positiv
richhtig fukntioniert nid 🤬 👎,negativ
sehr guet,positiv
voll msit 🙄 😡,negativ
einfach stark ❤️,positiv
nie wieder 💔,negativ
scehhen 😊 👍,positiv
richtig niie wieder 😡 😉,negativ
huere einfach ütür,negativ
voll kann man maachen halt 😐,neutral
mega apsst so ienfach 😐 😉,neutral
neutral gseh 🙂 😐,neutral
schwach,negativ
volll nervt graad 😢 💔,negativ
bin zfriede 😍,positiv
bin zfriede,positiv
richtig einfach so lala 😐 🙃,neutral
halt extrem so en quatccsh 😤,negativ
uhere grad so i.o. gard 🙂 😐,neutral
voll top sache ✨ 🤣,positiv
sehr guet ❤️,positiv
richtig apsst perfekkt ✨ mal ❤️,positiv
geht so 🙂,neutral
schrott 👎 lol 🤮,negativ
mal ullege 🙂 mal 🙃,neutral
nuentschieden 🤨 😐,neutral
huere nichts speziells,neutral
mega icsh okay 🤔 😉,neutral
jo psast scho 😐,neutral
huere jo passt halt scho 🤔 😶,neutral
voll gute iede ✨ ✨,positiv
funkittooniert nid 😤 😡,negativ
tüür 😡,negativ
hueere mal lleuge 😐 😐,neutral
